category,name,value,change
Governmental Direction & Support,Council of the District of Columbia,21007,0
Governmental Direction & Support,Office of the District of Columbia Auditor ,4276,8
Governmental Direction & Support,Advisory Neighborhood Commissions,895,0
Governmental Direction & Support,Office of the Mayor,8253,-2
Governmental Direction & Support,Office of the Community Affairs,0,0
Governmental Direction & Support,Serve DC,0,0
Governmental Direction & Support,Office of the Secretary,3266,1
Governmental Direction & Support,Customer Service Operations,0,0
Governmental Direction & Support,Office of the City Administrator,3383,-1
Governmental Direction & Support,D.C. Office of Risk Management,2946,-1
Governmental Direction & Support,Office of Personnel,0,0
Governmental Direction & Support,D.C. Human Resources,7891,-6
Governmental Direction & Support,Human Resources Development Fund,0,0
Governmental Direction & Support,Office of Disability Rights,980,1
Governmental Direction & Support,Office of Finance and Resource Management,20165,3
Governmental Direction & Support,Office of Partnerships and Grants and Services,0,0
Governmental Direction & Support,Office of Contracting and Procurement,11964,33
Governmental Direction & Support,Office of the Chief Technology Officer ,66014,29
Governmental Direction & Support,Department of General Services,212102,7
Governmental Direction & Support,Contract Appeals Board,1059,1
Governmental Direction & Support,Board of Elections,6430,11
Governmental Direction & Support,Office of Campaign Finance,2629,1
Governmental Direction & Support,Public Employee Relations Board,1162,1
Governmental Direction & Support,Office of Employee Appeals,1480,1
Governmental Direction & Support,Metropolitan Washington Council of Governments,428,5
Governmental Direction & Support,Office of the Attorney General of the District of Columbia,62318,3
Governmental Direction & Support,Office of the Inspector General,13465,1
Governmental Direction & Support,Office of the Chief Financial Officer,130038,0
Governmental Direction & Support,Medical Liability Captive Insurance Agency,2537,-4
Governmental Direction & Support,Municipal Facilities: Non-Capital,0,0
Governmental Direction & Support,Access to Justice,0,0
Governmental Direction & Support,Section 103 Judgements Gov Dir and Support,0,0
Governmental Direction & Support,Department of Real Estate Services,0,0
Governmental Direction & Support,Once City Fund,15000,0
Governmental Direction & Support,Tax Revision Commission,200,0
Governmental Direction & Support,DC Board of Ethics and Government Accountability,1219,17
Economic Development & Regulation  ,Deputy Mayor for Planning and Economic Development,34231,17
Economic Development & Regulation  ,Office of Planning,6581,0
Economic Development & Regulation  ,Office of Small and Local Business Development   ,6568,24
Economic Development & Regulation  ,Office of Motion Picture & Television Development,889,2
Economic Development & Regulation  ,Office of Zoning,2628,1
Economic Development & Regulation  ,Department of Housing and Community Development  ,20739,9
Economic Development & Regulation  ,DC Housing Authority Subsidy,34213,0
Economic Development & Regulation  ,Department of Employment Services,95334,8
Economic Development & Regulation  ,Board of Appeals and Review,0,0
Economic Development & Regulation  ,Board of Real Property Assessments and Appeals ,1684,1
